scenario,country,year,year_label,gdp_forecast,baseline,deviation,elasticity,vuln_weight,method
Moderate,Bangladesh,2025,Pre-war,5.465,5.7,-0.24,-0.35,1.0,Calibrated Elasticity
Moderate,Bangladesh,2026,War Year 1,4.7388,5.7,-0.96,-0.35,1.0,Calibrated Elasticity
Moderate,Bangladesh,2027,War Year 2,5.0533,5.7,-0.65,-0.35,1.0,Calibrated Elasticity
Moderate,India,2025,Pre-war,7.572,7.76,-0.19,-0.28,0.545,Calibrated Elasticity
Moderate,India,2026,War Year 1,7.1103,7.76,-0.65,-0.28,0.545,Calibrated Elasticity
Moderate,India,2027,War Year 2,7.3142,7.76,-0.45,-0.28,0.545,Calibrated Elasticity
Moderate,Japan,2025,Pre-war,0.71,0.84,-0.13,-0.18,0.1314,Calibrated Elasticity
Moderate,Japan,2026,War Year 1,0.5329,0.84,-0.31,-0.18,0.1314,Calibrated Elasticity
Moderate,Japan,2027,War Year 2,0.6197,0.84,-0.22,-0.18,0.1314,Calibrated Elasticity
Moderate,Pakistan,2025,Pre-war,2.188,2.47,-0.28,-0.42,0.5433,Calibrated Elasticity
Moderate,Pakistan,2026,War Year 1,1.484,2.47,-0.99,-0.42,0.5433,Calibrated Elasticity
Moderate,Pakistan,2027,War Year 2,1.7944,2.47,-0.68,-0.42,0.5433,Calibrated Elasticity
Moderate,Singapore,2025,Pre-war,3.12,3.44,-0.32,-0.48,0.3844,Calibrated Elasticity
Moderate,Singapore,2026,War Year 1,2.6652,3.44,-0.77,-0.48,0.3844,Calibrated Elasticity
Moderate,Singapore,2027,War Year 2,2.8791,3.44,-0.56,-0.48,0.3844,Calibrated Elasticity
Moderate,South Korea,2025,Pre-war,1.934,2.1,-0.17,-0.22,0.1399,Calibrated Elasticity
Moderate,South Korea,2026,War Year 1,1.7167,2.1,-0.38,-0.22,0.1399,Calibrated Elasticity
Moderate,South Korea,2027,War Year 2,1.826,2.1,-0.27,-0.22,0.1399,Calibrated Elasticity
Prolonged,Bangladesh,2025,Pre-war,5.33,5.7,-0.37,-0.35,1.0,Calibrated Elasticity
Prolonged,Bangladesh,2026,War Year 1,3.433,5.7,-2.27,-0.35,1.0,Calibrated Elasticity
Prolonged,Bangladesh,2027,War Year 2,3.8281,5.7,-1.87,-0.35,1.0,Calibrated Elasticity
Prolonged,India,2025,Pre-war,7.464,7.76,-0.3,-0.28,0.545,Calibrated Elasticity
Prolonged,India,2026,War Year 1,6.3042,7.76,-1.46,-0.28,0.545,Calibrated Elasticity
Prolonged,India,2027,War Year 2,6.5487,7.76,-1.21,-0.28,0.545,Calibrated Elasticity
Prolonged,Japan,2025,Pre-war,0.636,0.84,-0.2,-0.18,0.1314,Calibrated Elasticity
Prolonged,Japan,2026,War Year 1,0.2586,0.84,-0.58,-0.18,0.1314,Calibrated Elasticity
Prolonged,Japan,2027,War Year 2,0.3449,0.84,-0.5,-0.18,0.1314,Calibrated Elasticity
Prolonged,Pakistan,2025,Pre-war,2.026,2.47,-0.44,-0.42,0.5433,Calibrated Elasticity
Prolonged,Pakistan,2026,War Year 1,0.252,2.47,-2.22,-0.42,0.5433,Calibrated Elasticity
Prolonged,Pakistan,2027,War Year 2,0.6256,2.47,-1.84,-0.42,0.5433,Calibrated Elasticity
Prolonged,Singapore,2025,Pre-war,2.936,3.44,-0.5,-0.48,0.3844,Calibrated Elasticity
Prolonged,Singapore,2026,War Year 1,1.9556,3.44,-1.48,-0.48,0.3844,Calibrated Elasticity
Prolonged,Singapore,2027,War Year 2,2.1725,3.44,-1.27,-0.48,0.3844,Calibrated Elasticity
Prolonged,South Korea,2025,Pre-war,1.84,2.1,-0.26,-0.22,0.1399,Calibrated Elasticity
Prolonged,South Korea,2026,War Year 1,1.3834,2.1,-0.72,-0.22,0.1399,Calibrated Elasticity
Prolonged,South Korea,2027,War Year 2,1.4901,2.1,-0.61,-0.22,0.1399,Calibrated Elasticity
Extreme,Bangladesh,2025,Pre-war,5.23,5.7,-0.47,-0.35,1.0,Calibrated Elasticity
Extreme,Bangladesh,2026,War Year 1,2.2614,5.7,-3.44,-0.35,1.0,Calibrated Elasticity
Extreme,Bangladesh,2027,War Year 2,2.5879,5.7,-3.11,-0.35,1.0,Calibrated Elasticity
Extreme,India,2025,Pre-war,7.384,7.76,-0.38,-0.28,0.545,Calibrated Elasticity
Extreme,India,2026,War Year 1,5.5756,7.76,-2.18,-0.28,0.545,Calibrated Elasticity
Extreme,India,2027,War Year 2,5.7713,7.76,-1.99,-0.28,0.545,Calibrated Elasticity
Extreme,Japan,2025,Pre-war,0.58,0.84,-0.26,-0.18,0.1314,Calibrated Elasticity
Extreme,Japan,2026,War Year 1,0.0036,0.84,-0.84,-0.18,0.1314,Calibrated Elasticity
Extreme,Japan,2027,War Year 2,0.06,0.84,-0.78,-0.18,0.1314,Calibrated Elasticity
Extreme,Pakistan,2025,Pre-war,1.906,2.47,-0.56,-0.42,0.5433,Calibrated Elasticity
Extreme,Pakistan,2026,War Year 1,-0.861,2.47,-3.33,-0.42,0.5433,Calibrated Elasticity
Extreme,Pakistan,2027,War Year 2,-0.5612,2.47,-3.03,-0.42,0.5433,Calibrated Elasticity
Extreme,Singapore,2025,Pre-war,2.8,3.44,-0.64,-0.48,0.3844,Calibrated Elasticity
Extreme,Singapore,2026,War Year 1,1.2947,3.44,-2.15,-0.48,0.3844,Calibrated Elasticity
Extreme,Singapore,2027,War Year 2,1.4458,3.44,-1.99,-0.48,0.3844,Calibrated Elasticity
Extreme,South Korea,2025,Pre-war,1.768,2.1,-0.33,-0.22,0.1399,Calibrated Elasticity
Extreme,South Korea,2026,War Year 1,1.0735,2.1,-1.03,-0.22,0.1399,Calibrated Elasticity
Extreme,South Korea,2027,War Year 2,1.1401,2.1,-0.96,-0.22,0.1399,Calibrated Elasticity
